,Unnamed: 0,Ingredient,Similar Ingredient,Word2Vec Value
1152,1152,바지락,다진마늘,0.9420695900917052
194,194,부추,후춧가루,0.9419023990631104
101,101,숙주,설탕,0.9418795108795166
1042,1042,버터,참기름,0.94179505109787
1043,1043,버터,고춧가루,0.941780686378479
873,873,꿀,참기름,0.9416518211364746
1044,1044,버터,간장,0.9415732622146606
874,874,꿀,홍고추,0.9411410093307496
660,660,홍합,대파,0.9411394596099854
1153,1153,바지락,홍고추,0.9407713413238524
722,722,모시조개,소금,0.940105438232422
723,723,모시조개,후춧가루,0.9398832321166992
724,724,모시조개,설탕,0.9397883415222168
102,102,숙주,대파,0.93856680393219
103,103,숙주,간장,0.9383482933044434
1154,1154,바지락,후춧가루,0.9380448460578918
1410,1410,생크림,간장,0.9371944069862366
104,104,숙주,후춧가루,0.937127947807312
661,661,홍합,다진마늘,0.9371153712272644
662,662,홍합,간장,0.9360194206237792
1411,1411,생크림,홍고추,0.9351047277450562
120,120,쌀,홍고추,0.9350522756576538
1412,1412,생크림,대파,0.934764802455902
663,663,홍합,양파,0.9346827268600464
1000,1000,밤,참기름,0.9346132278442384
664,664,홍합,소금,0.9344923496246338
121,121,쌀,후춧가루,0.9338691830635072
122,122,쌀,다진마늘,0.9338579773902892
123,123,쌀,설탕,0.9336667060852052
124,124,쌀,간장,0.933363437652588
1413,1413,생크림,다진마늘,0.9330682158470154
1001,1001,밤,고춧가루,0.9322850108146667
840,840,계란노른자,설탕,0.9320382475852966
1414,1414,생크림,설탕,0.9317463636398317
1002,1002,밤,다진마늘,0.9316952228546144
820,820,바질,다진마늘,0.9315804243087769
841,841,계란노른자,다진마늘,0.9314769506454468
260,260,통후추,소금,0.9306647777557372
1003,1003,밤,간장,0.930660367012024
821,821,바질,설탕,0.9305952787399292
261,261,통후추,다진마늘,0.9305073022842408
822,822,바질,대파,0.9304535388946532
262,262,통후추,참기름,0.9300720691680908
823,823,바질,간장,0.9289557337760924
824,824,바질,후춧가루,0.9287803173065186
1004,1004,밤,설탕,0.9287575483322144
263,263,통후추,실파,0.9281288385391236
264,264,통후추,설탕,0.9279597401618958
842,842,계란노른자,후춧가루,0.9276365041732788
490,490,홍피망,다진마늘,0.92727392911911
60,60,고사리,소금,0.926828384399414
